model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8414735591206179
XGBoost,0.7565649396735273,0.5285451197053407,0.767379679144385,0.6259541984732825,0.8406081273088946
Random Forest,0.7799858055358411,0.6118881118881119,0.4679144385026738,0.5303030303030303,0.8193727556898911
